step,epoch,dev_loss,TRUE_scores,FALSE_scores,model_type,batch_size,lr,mean_loss
0,0,41.032173,-53.91135025024414,-53.89479064941406,sl2,32,0.001,41.88416290283203
25,1,40.83886,-53.55331039428711,-53.70122146606445,sl2,32,0.001,40.1131591796875
50,3,40.661457,-53.22093200683594,-53.52549362182617,sl2,32,0.001,40.35990524291992
75,4,40.49714,-52.90873718261719,-53.36513137817383,sl2,32,0.001,40.38336944580078
100,6,40.346313,-52.617530822753906,-53.21998596191406,sl2,32,0.001,39.58698272705078
125,7,40.20597,-52.34495544433594,-53.08608627319336,sl2,32,0.001,39.664344787597656
150,9,40.076733,-52.08819580078125,-52.96567916870117,sl2,32,0.001,38.101680755615234
175,10,39.95681,-51.849037170410156,-52.85417175292969,sl2,32,0.001,38.50910568237305
