row_number	subject_code	subject_age	subject_sex	stem	1st_option	2nd_option	option_chosen	nak_rating	nek_rating	nak_advantage	AGREE(back,nonlocal)	AGREE(nonhigh_front,local)	AGREE(low_front,local)	AGREE(double_front,local)	USE_FRONT/bilabial__	USE_FRONT/[+cor,+son]__	USE_FRONT/sibilant__	USE_FRONT/CC__	USE_BACK/[C0i:C0]__
850	71	26	female	fándék	fándéknak	fándéknek	nak	5	3	2	1	1	0	0	0	0	0	0	0
852	71	26	female	kákoler	kákolernak	kákolernek	nek	3	5	-2	1	1	1	0	0	1	0	0	0
855	72	50	female	nyozeg	nyozegnek	nyozegnak	nak	7	4	3	1	1	1	0	0	0	0	0	0
858	72	50	female	kándézek	kándézeknak	kándézeknek	nek	2	7	-5	1	1	1	1	0	0	0	0	0
859	72	50	female	tuttér	tuttérnak	tuttérnek	nak	7	4	3	1	1	0	0	0	1	0	0	0
895	76	18	female	dúlmí	dúlmínek	dúlmínak	nak	7	1	6	1	0	0	0	0	0	0	0	0
902	76	18	female	sortek	sorteknak	sorteknek	nak	4	3	1	1	1	1	0	0	0	0	0	0
942	82	32	male	nubóner	nubónernek	nubónernak	nak	6	4	2	1	1	1	0	0	1	0	0	0
943	82	32	male	kórádég	kórádégnak	kórádégnek	nak	6	4	2	1	1	0	0	0	0	0	0	0
947	82	32	male	ompi	ompinek	ompinak	nak	7	4	3	1	0	0	0	0	0	0	0	0
985	86	33	female	katir	katirnek	katirnak	nak	6	2	4	1	0	0	0	0	1	0	0	0
991	86	33	female	túrgogé	túrgogénak	túrgogének	nak	7	1	6	1	1	0	0	0	0	0	0	0
994	86	33	female	kóaze	kóazénak	kóazének	nak	7	1	6	1	1	1	0	0	0	0	0	0
1024	89	35	male	kárék	káréknak	káréknek	nak	7	5	2	1	1	0	0	0	0	0	0	0
1026	89	35	male	mosirer	mosirernek	mosirernak	nek	5	7	-2	1	1	1	1	0	1	0	0	0
1029	89	35	male	ulólmít	ulólmítnek	ulólmítnak	nak	7	6	1	1	0	0	0	0	0	0	0	0
1034	90	42	male	darúti	darútinek	darútinak	nak	7	3	4	1	0	0	0	0	0	0	0	0
1042	90	42	male	fávi	fávinek	fávinak	nak	7	1	6	1	0	0	0	0	0	0	0	0
1046	90	42	male	csuékir	csuékirnek	csuékirnak	nek	2	6	-4	1	0	0	1	0	1	0	0	0
1062	92	33	male	mánótér	mánótérnak	mánótérnek	nek	4	6	-2	1	1	0	0	0	1	0	0	0
1065	92	33	male	csolferet	csolferetnek	csolferetnak	nek	3	6	-3	1	1	1	1	0	0	0	0	0
1070	92	33	male	csogek	csogeknak	csogeknek	nek	4	6	-2	1	1	1	0	0	0	0	0	0
1071	92	33	male	kec	kecnak	kecnek	nek	3	6	-3	0	1	1	0	0	0	1	0	0
1078	94	29	male	nanye	nanyénak	nanyének	nak	7	4	3	1	1	1	0	0	0	0	0	0
1090	94	29	male	kagópzev	kagópzevnak	kagópzevnek	nek	2	7	-5	1	1	1	0	0	0	0	0	0
1133	98	50	female	hápsugég	hápsugégnak	hápsugégnek	nak	7	1	6	1	1	0	0	0	0	0	0	0
1135	98	50	female	azde	azdének	azdénak	nak	7	1	6	1	1	1	0	0	0	0	0	0
1147	98	50	female	cér	cérnek	cérnak	nek	1	7	-6	0	1	0	0	0	1	0	0	0
1155	99	27	male	vé	vének	vénak	nek	4	5	-1	0	1	0	0	0	0	0	0	0
1164	100	21	male	tig	tignak	tignek	nek	1	7	-6	0	0	0	0	0	0	0	0	0
1167	100	21	male	trolér	trolérnak	trolérnek	nak	7	1	6	1	1	0	0	0	1	0	0	0
1168	100	21	male	mágék	mágéknak	mágéknek	nak	7	1	6	1	1	0	0	0	0	0	0	0
1175	101	36	male	fájcid	fájcidnek	fájcidnak	nak	6	4	2	1	0	0	0	0	0	0	0	0
1176	101	36	male	hér	hérnek	hérnak	nek	1	7	-6	0	1	0	0	0	1	0	0	0
1181	101	36	male	glé	glénak	glének	nek	1	7	-6	0	1	0	0	0	0	0	0	0
1191	103	45	female	százávet	százávetnak	százávetnek	nek	4	4	0	1	1	1	0	0	0	0	0	0
1202	103	45	female	hev	hevnak	hevnek	nek	1	7	-6	0	1	1	0	0	0	0	0	0
1215	105	29	female	lí	línak	línek	nek	1	7	-6	0	0	0	0	0	0	0	0	1
1216	104	59	female	ralét	ralétnek	ralétnak	nek	2	6	-4	1	1	0	0	0	0	0	0	0
1218	105	29	female	rápárer	rápárernek	rápárernak	nek	1	7	-6	1	1	1	0	0	1	0	0	0
1222	105	29	female	házegyig	házegyignak	házegyignek	nek	1	7	-6	1	0	0	1	0	0	0	0	0
1229	104	59	female	arzútlek	arzútleknak	arzútleknek	nek	2	6	-4	1	1	1	0	0	0	0	0	0
1310	116	31	male	zagye	zagyénak	zagyének	nak	7	1	6	1	1	1	0	0	0	0	0	0
1315	116	31	male	assezpir	assezpirnak	assezpirnek	nak	6	1	5	1	0	0	1	0	1	0	0	0
1319	116	31	male	szodóné	szodónénak	szodónének	nak	6	3	3	1	1	0	0	0	0	0	0	0
1329	118	31	female	lonyé	lonyének	lonyénak	nek	1	7	-6	1	1	0	0	0	0	0	0	0
1331	118	31	female	szánéjik	szánéjiknak	szánéjiknek	nek	1	7	-6	1	0	0	1	0	0	0	0	0
1333	118	31	female	ir	irnek	irnak	nek	1	7	-6	0	0	0	0	0	1	0	0	0
1359	121	38	male	cej	cejnek	cejnak	nek	2	6	-4	0	1	1	0	0	0	0	0	0
1365	121	38	male	asszede	asszedének	asszedénak	nek	2	6	-4	1	1	1	1	0	0	0	0	0
1390	124	35	female	totek	toteknek	toteknak	nek	1	7	-6	1	1	1	0	0	0	0	0	0
1396	124	35	female	fone	fonének	fonénak	nak	7	1	6	1	1	1	0	0	0	0	0	0
1407	125	32	female	vuvsé	vuvsénak	vuvsének	nak	6	3	3	1	1	0	0	0	0	0	0	0
1415	125	32	female	kází	kázínak	kázínek	nak	5	4	1	1	0	0	0	0	0	0	0	0
1421	130	24	male	kartegik	kartegiknek	kartegiknak	nek	2	7	-5	1	0	0	1	0	0	0	0	0
1422	130	24	male	zsí	zsínek	zsínak	nek	2	7	-5	0	0	0	0	0	0	0	0	1
1461	133	32	female	hándég	hándégnek	hándégnak	nak	7	1	6	1	1	0	0	0	0	0	0	0
1467	133	32	female	fázdir	fázdirnak	fázdirnek	nak	7	1	6	1	0	0	0	0	1	0	0	0
1479	135	40	female	ráltényé	ráltényénak	ráltényének	nek	3	5	-2	1	1	0	1	0	0	0	0	0
1480	135	40	female	kóde	kódének	kódénak	nak	6	1	5	1	1	1	0	0	0	0	0	0
1481	133	32	female	akimé	akimének	akiménak	nek	1	7	-6	1	1	0	1	0	0	0	0	0
1485	134	19	male	szodrísszher	szodrísszhernek	szodrísszhernak	nek	1	7	-6	1	1	1	1	0	1	0	0	0
1486	135	40	female	cir	cirnek	cirnak	nek	1	7	-6	0	0	0	0	0	1	0	0	0
1493	134	19	male	málle	mállének	mállénak	nak	6	4	2	1	1	1	0	0	0	0	0	0
1497	134	19	male	kungodét	kungodétnek	kungodétnak	nak	6	3	3	1	1	0	0	0	0	0	0	0
1503	138	30	female	fí	fínak	fínek	nek	1	7	-6	0	0	0	0	0	0	0	0	1
1507	138	30	female	vuguzé	vuguzének	vuguzénak	nek	1	7	-6	1	1	0	0	0	0	0	0	0
1543	143	55	female	fozdene	fozdenének	fozdenénak	nek	2	5	-3	1	1	1	1	0	0	0	0	0
1548	143	55	female	teg	tegnak	tegnek	nek	1	5	-4	0	1	1	0	0	0	0	0	0
1549	144	58	female	brodilze	brodilzének	brodilzénak	nek	5	7	-2	1	1	1	1	0	0	0	0	0
1563	144	58	female	báragzit	báragzitnek	báragzitnak	nak	5	4	1	1	0	0	0	0	0	0	0	0
1586	147	30	female	eg	egnak	egnek	nek	1	7	-6	0	1	1	0	0	0	0	0	0
1603	147	30	female	jarli	jarlinek	jarlinak	nak	7	1	6	1	0	0	0	0	0	0	0	0
1608	148	21	female	ongolje	ongoljénak	ongoljének	nak	5	5	0	1	1	1	0	0	0	0	0	0
1612	148	21	female	pranfárte	pranfártének	pranfárténak	nak	6	5	1	1	1	1	0	0	0	0	0	0
1618	149	50	female	keg	kegnek	kegnak	nek	1	7	-6	0	1	1	0	0	0	0	0	0
1644	151	60	female	ókezge	ókezgénak	ókezgének	nek	3	5	-2	1	1	1	1	0	0	0	0	0
1646	151	60	female	atálek	atáleknek	atáleknak	nak	6	3	3	1	1	1	0	0	0	0	0	0
1653	152	23	male	mágodék	mágodéknak	mágodéknek	nak	7	1	6	1	1	0	0	0	0	0	0	0
1658	152	23	male	táimlet	táimletnak	táimletnek	nek	1	7	-6	1	1	1	1	0	0	0	0	0
1675	154	40	male	kardég	kardégnek	kardégnak	nek	2	6	-4	1	1	0	0	0	0	0	0	0
1676	154	40	male	tokik	tokiknak	tokiknek	nak	5	1	4	1	0	0	0	0	0	0	0	0
1689	155	30	male	rómattér	rómattérnek	rómattérnak	nek	1	7	-6	1	1	0	0	0	1	0	0	0
1691	155	30	male	lér	lérnak	lérnek	nek	1	7	-6	0	1	0	0	0	1	0	0	0
1692	155	30	male	ódikeg	ódikegnak	ódikegnek	nek	1	7	-6	1	1	1	1	0	0	0	0	0
1694	156	70	male	aveg	avegnak	avegnek	nek	1	7	-6	1	1	1	0	0	0	0	0	0
1698	155	30	male	ket	ketnek	ketnak	nek	1	7	-6	0	1	1	0	0	0	0	0	0
1711	156	70	male	cseg	csegnek	csegnak	nek	1	7	-6	0	1	1	0	0	0	0	0	0
1741	160	24	female	pátóze	pátózének	pátózénak	nek	5	7	-2	1	1	1	0	0	0	0	0	0
1749	160	24	female	mákser	máksernak	máksernek	nek	5	7	-2	1	1	1	0	0	1	0	0	0
