row_number	subject_code	subject_age	subject_sex	stem	1st_option	2nd_option	option_chosen	nak_rating	nek_rating	nak_advantage	AGREE(back,nonlocal)	AGREE(nonhigh_front,local)	AGREE(low_front,local)	AGREE(double_front,local)	USE_FRONT/bilabial__	USE_FRONT/[+cor,+son]__	USE_FRONT/sibilant__	USE_FRONT/CC__	USE_BACK/[C0i:C0]__
2202	196	26	male	raszser	raszsernak	raszsernek	nek	3	7	-4	1	1	1	0	0	1	0	0	0
2274	203	18	male	ozugyve	ozugyvénak	ozugyvének	nak	7	1	6	1	1	1	0	0	0	0	0	0
2287	205	21	male	kóver	kóvernak	kóvernek	nek	4	5	-1	1	1	1	0	0	1	0	0	0
2289	205	21	male	rater	raternak	raternek	nek	2	6	-4	1	1	1	0	0	1	0	0	0
2293	205	21	male	gi	ginek	ginak	nek	1	7	-6	0	0	0	0	0	0	0	0	0
2294	205	21	male	mailkék	mailkéknek	mailkéknak	nek	2	6	-4	1	1	0	1	0	0	0	0	0
2302	206	61	female	trír	trírnek	trírnak	nek	1	7	-6	0	0	0	0	0	1	0	0	1
2305	206	61	female	modéli	modélinek	modélinak	nek	1	7	-6	1	0	0	1	0	0	0	0	0
2309	206	61	female	anóte	anótének	anóténak	nak	7	1	6	1	1	1	0	0	0	0	0	0
2325	207	30	male	rányvet	rányvetnak	rányvetnek	nek	1	6	-5	1	1	1	0	0	0	0	0	0
2329	207	30	male	polmener	polmenernak	polmenernek	nek	1	7	-6	1	1	1	1	0	1	0	0	0
2333	207	30	male	hálkeg	hálkegnek	hálkegnak	nek	1	7	-6	1	1	1	0	0	0	0	0	0
2367	210	22	male	it	itnek	itnak	nek	2	6	-4	0	0	0	0	0	0	0	0	0
2376	210	22	male	féj	féjnak	féjnek	nek	2	6	-4	0	1	0	0	0	0	0	0	0
2381	210	22	male	talmér	talmérnek	talmérnak	nak	5	4	1	1	1	0	0	0	1	0	0	0
2382	210	22	male	rer	rernak	rernek	nek	1	4	-3	0	1	1	0	0	1	0	0	0
2421	214	31	male	buvig	buvignak	buvignek	nak	7	3	4	1	0	0	0	0	0	0	0	0
2428	214	31	male	tokindég	tokindégnek	tokindégnak	nek	3	6	-3	1	1	0	1	0	0	0	0	0
2447	216	55	female	orír	orírnek	orírnak	nak	7	3	4	1	0	0	0	0	1	0	0	0
2450	216	55	female	tázádi	tázádinak	tázádinek	nak	7	1	6	1	0	0	0	0	0	0	0	0
2455	216	55	female	acárgek	acárgeknek	acárgeknak	nek	1	7	-6	1	1	1	0	0	0	0	0	0
2461	217	60	male	fandállir	fandállirnek	fandállirnak	nak	6	2	4	1	0	0	0	0	1	0	0	0
2468	217	60	male	fápaki	fápakinek	fápakinak	nak	7	1	6	1	0	0	0	0	0	0	0	0
2469	218	18	female	kalazé	kalazénak	kalazének	nak	6	4	2	1	1	0	0	0	0	0	0	0
2475	218	18	female	gámer	gámernak	gámernek	nak	6	4	2	1	1	1	0	0	1	0	0	0
2481	218	18	female	gyet	gyetnek	gyetnak	nek	2	6	-4	0	1	1	0	0	0	0	0	0
2491	219	35	female	fanaser	fanasernak	fanasernek	nak	7	7	0	1	1	1	0	0	1	0	0	0
2495	219	35	female	csadve	csadvénak	csadvének	nak	7	4	3	1	1	1	0	0	0	0	0	0
2497	219	35	female	vánzé	vánzének	vánzénak	nek	5	7	-2	1	1	0	0	0	0	0	0	0
2512	221	20	male	katelir	katelirnak	katelirnek	nek	1	7	-6	1	0	0	1	0	1	0	0	0
2515	221	20	male	nacség	nacségnek	nacségnak	nak	5	3	2	1	1	0	0	0	0	0	0	0
2516	221	20	male	onir	onirnak	onirnek	nak	5	3	2	1	0	0	0	0	1	0	0	0
2523	221	20	male	malgé	malgének	malgénak	nak	7	1	6	1	1	0	0	0	0	0	0	0
2535	222	59	female	szet	szetnak	szetnek	nek	1	6	-5	0	1	1	0	0	0	0	0	0
2537	223	70	male	kazec	kazecnek	kazecnak	nek	2	6	-4	1	1	1	0	0	0	1	0	0
2544	223	70	male	tokekték	tokektéknek	tokektéknak	nek	2	6	-4	1	1	0	1	0	0	0	0	0
2549	223	70	male	deg	degnek	degnak	nek	2	6	-4	0	1	1	0	0	0	0	0	0
2551	222	59	female	feg	fegnak	fegnek	nek	2	6	-4	0	1	1	0	0	0	0	0	0
